# Mask ID Information
# Total masks: 74
# Generated from: couch_slide_v2.jpg

# Selected as foreground:
foreground_mask_ids: 23

# All mask IDs and their areas:
mask_0: area=1234744, iou=0.988, stability=0.975
mask_1: area=226047, iou=0.984, stability=0.955
mask_2: area=136511, iou=0.984, stability=0.979
mask_3: area=101382, iou=0.980, stability=0.965
mask_4: area=91692, iou=0.980, stability=0.961
mask_5: area=136697, iou=0.980, stability=0.978
mask_6: area=27982, iou=0.980, stability=0.957
mask_7: area=15141, iou=0.977, stability=0.973
mask_8: area=1202342, iou=0.977, stability=0.979
mask_9: area=57272, iou=0.977, stability=0.980
mask_10: area=93274, iou=0.977, stability=0.964
mask_11: area=96899, iou=0.977, stability=0.955
mask_12: area=69371, iou=0.977, stability=0.968
mask_13: area=137966, iou=0.977, stability=0.966
mask_14: area=50568, iou=0.973, stability=0.980
mask_15: area=26066, iou=0.973, stability=0.980
mask_16: area=1201284, iou=0.973, stability=0.980
mask_17: area=13642, iou=0.973, stability=0.979
mask_18: area=69076, iou=0.973, stability=0.962
mask_19: area=68843, iou=0.973, stability=0.976
mask_20: area=12282, iou=0.969, stability=0.982
mask_21: area=6887, iou=0.969, stability=0.979
mask_22: area=22799, iou=0.969, stability=0.968
mask_23: area=322635, iou=0.969, stability=0.968
mask_24: area=136858, iou=0.969, stability=0.978
mask_25: area=111681, iou=0.969, stability=0.957
mask_26: area=67811, iou=0.969, stability=0.972
mask_27: area=67877, iou=0.969, stability=0.974
mask_28: area=68866, iou=0.969, stability=0.964
mask_29: area=4725, iou=0.965, stability=0.977
mask_30: area=10725, iou=0.965, stability=0.971
mask_31: area=13213, iou=0.961, stability=0.972
mask_32: area=7339, iou=0.961, stability=0.973
mask_33: area=7043, iou=0.961, stability=0.970
mask_34: area=57301, iou=0.961, stability=0.957
mask_35: area=23075, iou=0.961, stability=0.978
mask_36: area=101519, iou=0.961, stability=0.967
mask_37: area=13325, iou=0.957, stability=0.975
mask_38: area=18725, iou=0.957, stability=0.953
mask_39: area=71199, iou=0.957, stability=0.974
mask_40: area=16472, iou=0.953, stability=0.973
mask_41: area=2925, iou=0.953, stability=0.970
mask_42: area=13165, iou=0.953, stability=0.965
mask_43: area=11947, iou=0.953, stability=0.955
mask_44: area=9146, iou=0.949, stability=0.973
mask_45: area=45334, iou=0.949, stability=0.968
mask_46: area=102548, iou=0.949, stability=0.952
mask_47: area=3416, iou=0.945, stability=0.964
mask_48: area=15522, iou=0.941, stability=0.966
mask_49: area=3020, iou=0.938, stability=0.962
mask_50: area=1469, iou=0.938, stability=0.965
mask_51: area=2096, iou=0.934, stability=0.970
mask_52: area=54049, iou=0.934, stability=0.980
mask_53: area=54486, iou=0.934, stability=0.952
mask_54: area=157890, iou=0.930, stability=0.963
mask_55: area=20304, iou=0.926, stability=0.973
mask_56: area=78133, iou=0.926, stability=0.952
mask_57: area=138561, iou=0.922, stability=0.969
mask_58: area=2229, iou=0.918, stability=0.960
mask_59: area=50897, iou=0.914, stability=0.964
mask_60: area=781, iou=0.914, stability=0.956
mask_61: area=72552, iou=0.906, stability=0.957
mask_62: area=20724, iou=0.902, stability=0.953
mask_63: area=15343, iou=0.891, stability=0.966
mask_64: area=6907, iou=0.891, stability=0.967
mask_65: area=18817, iou=0.879, stability=0.959
mask_66: area=2203, iou=0.879, stability=0.951
mask_67: area=76136, iou=0.875, stability=0.957
mask_68: area=13945, iou=0.871, stability=0.965
mask_69: area=156547, iou=0.863, stability=0.957
mask_70: area=6900, iou=0.836, stability=0.957
mask_71: area=181737, iou=0.820, stability=0.951
mask_72: area=35516, iou=0.820, stability=0.952
mask_73: area=179030, iou=0.809, stability=0.953
